distance,0.8,0.6,0.4,0.2,name,,,,,,,
0.95,0.02882,0.029489,0.038972,0.095863,plant,,,,,,,
2.01,0.012907,0.01308,0.015996,0.04556,plant,,,,,,,
3.04,0.008263,0.00853,0.009819,0.02705,plant,,,,,,,
4.04,0.006645,0.006753,0.008217,0.018174,plant,,,,,,,
5.04,0.003875,0.004071,0.004794,0.01469,plant,,,,,,,
6.02,0.003053,0.002999,0.003982,0.011102,plant,,,,,,,
7,0.00168,0.001818,0.002575,0.007221,plant,,,,,,,
7.98,0.001293,0.001343,0.002274,0.007048,plant,,,,,,,
8.95,0.001067,0.001169,0.001726,0.003859,plant,,,,,,,
9.92,0.000808,0.000787,0.001406,0.00419,plant,,,,,,,
10.89,0.000671,0.000762,0.001257,0.002103,plant,,,,,,,
11.86,0.00068,0.000845,0.000908,0.002092,plant,,,,,,,
12.82,0.00087,0.000833,0.000871,0.002138,plant,,,,,,,
13.79,0.000576,0.000502,0.000553,0.002614,plant,,,,,,,
14.75,0.000906,0.000886,0.001026,0.001186,plant,,,,,,,
15.71,0.000296,0.000342,0.000428,0.001354,plant,,,,,,,
16.67,0.000362,0.000538,0.000583,0.001588,plant,,,,,,,
17.64,0.000547,0.000371,0.000614,0.001713,plant,,,,,,,
18.6,0.000246,0.000272,0.000355,0.000837,plant,,,,,,,
2.1,0.011184,0.025551,0.031853,0.07433,table,,,,,,,
4.46,0.001554,0.006564,0.007636,0.017628,table,,,,,,,
6.73,0.001015,0.003834,0.004332,0.009691,table,,,,,,,
8.95,0.000927,0.002236,0.003264,0.007954,table,,,,,,,
11.14,0.000755,0.000937,0.002069,0.006372,table,,,,,,,
13.32,0.000606,0.000533,0.001826,0.005524,table,,,,,,,
15.49,0.000482,0.000573,0.001555,0.004859,table,,,,,,,
17.65,0.000568,0.000561,0.001454,0.004491,table,,,,,,,
19.8,0.000335,0.000883,0.001535,0.004067,table,,,,,,,
21.95,0.000349,0.00068,0.001065,0.003603,table,,,,,,,
24.09,0.000292,0.000517,0.001016,0.003161,table,,,,,,,
26.23,0.000213,0.000698,0.001209,0.006994,table,,,,,,,
28.37,0.000188,0.000401,0.000833,0.002847,table,,,,,,,
30.51,0.000131,0.000868,0.001035,0.005457,table,,,,,,,
32.64,0.000153,0.000744,0.000888,0.002731,table,,,,,,,
34.77,0.000249,0.000964,0.001093,0.002682,table,,,,,,,
36.9,0.000115,0.000909,0.000807,0.003278,table,,,,,,,
39.03,9.40E-05,0.000715,0.000517,0.002645,table,,,,,,,
41.15,0.000117,0.000436,0.000318,0.002337,table,,,,,,,
43.28,9.30E-05,0.000248,0.000251,0.002272,table,,,,,,,
45.4,7.00E-05,0.000383,0.000508,0.001624,table,,,,,,,
0.22,0.029244,0.035996,0.050415,0.109328,splane,,,,,,,
0.44,0.013127,0.015136,0.020371,0.047419,splane,,,,,,,
0.66,0.010165,0.01083,0.012846,0.0319,splane,,,,,,,
0.88,0.007685,0.007894,0.009643,0.024373,splane,,,,,,,
1.1,0.005694,0.005927,0.007433,0.018597,splane,,,,,,,
1.32,0.004225,0.004483,0.005629,0.015363,splane,,,,,,,
1.54,0.002976,0.003062,0.003796,0.01246,splane,,,,,,,
1.76,0.001979,0.002039,0.002953,0.011747,splane,,,,,,,
1.98,0.001744,0.001821,0.002491,0.010331,splane,,,,,,,
2.2,0.001983,0.002155,0.003077,0.010092,splane,,,,,,,
2.42,0.001762,0.002128,0.002333,0.009833,splane,,,,,,,
2.64,0.001204,0.001205,0.001696,0.008236,splane,,,,,,,
2.86,0.000833,0.000937,0.002382,0.008216,splane,,,,,,,
3.08,0.00085,0.000992,0.001817,0.007027,splane,,,,,,,
